name,gender,student_type,education_level,branch,study_hours,attend_hours,confidence,prefers_online_video,active_learner,sleep_hours,sleep_racing,exam_blank,overwhelm,friday_mood,self_doubt,workload_freq,goal_setting_freq,time_enough,puzzle_score,engagement,financial_stress,living_situation,phone_hours,friends_count,sgpa,atkt,has_internship,has_job,in_club,edtech_platforms,hobbies_count,social_interaction_freq,stress_base,motivation_base,social_base,digital_base,stress_level,learning_mode,at_risk_flag,gender_enc,student_type_enc,education_level_enc,branch_enc,sleep_racing_enc,friday_mood_enc,self_doubt_enc,goal_setting_freq_enc,financial_stress_enc,living_situation_enc,sleep_racing_num,goal_freq_num,digital_score,engagement_score,academic_pressure,social_score,study_efficiency,wellbeing_score
Chinmay Bhosale,Male,Engineering,Engineering,BA English Literature,2,9,2,0,0,5,Never,0,3,Neutral,Sometimes,3,Sometimes,3,4,1,Tight,Home,8,8,4.2,1,1,0,1,3,1,1,0.531,0.383,0.726,0.48,Medium,Offline,1,1,1,1,1,1,2,1,4,3,0,0,2,11,10,12.8,10,0.2,8
Neha Sharma,Female,Engineering,Engineering,BA Psychology,6,11,4,0,1,4,Never,0,2,Exhausted and drained,"No, I believe them",2,Always,3,3,4,Moderate,Relatives,1,1,6.3,0,0,0,0,3,3,4,0.227,0.89,0.244,0.817,Low,Online,0,0,1,1,2,1,1,0,0,2,3,0,4,4,16,7.7,5,0.5,11
Jay Gaikwad,Male,Engineering,Engineering,BCom,3,12,3,1,0,5,Often,1,5,Energised,Sometimes,4,Sometimes,1,2,4,Comfortable,Hostel,5,6,5.6,0,1,0,0,3,4,1,0.866,0.185,0.524,0.752,Critical,Hybrid,1,1,1,1,4,2,0,1,4,0,1,2,2,10,16,13.4,7,0.23076923076923078,12
Bhavna Patel,Female,Engineering,Engineering,BA English Literature,3,9,2,1,0,5,Never,0,2,Relieved,"No, I believe them",4,Sometimes,3,4,4,Comfortable,Home,6,8,4.8,0,1,0,0,1,4,2,0.357,0.377,0.438,0.792,Medium,Online,0,0,1,1,1,1,3,0,4,0,0,0,2,9,13,11.2,10,0.3,11
Priya Sawant,Female,Engineering,Engineering,BA Psychology,4,10,4,1,1,5,Always,0,3,Exhausted and drained,"No, I believe them",2,Always,3,4,4,Moderate,Home,6,7,5.3,0,1,0,0,4,3,1,0.526,0.316,0.762,0.442,Medium,Offline,0,0,1,1,2,0,1,0,0,2,0,3,4,12,15,9.7,8,0.36363636363636365,12
Siddharth Patel,Male,Engineering,Engineering,Civil Engineering,5,15,4,0,0,6,Often,0,2,Neutral,"No, I believe them",2,Sometimes,4,4,4,Moderate,Hostel,6,0,6.3,0,1,0,0,1,2,4,0.303,0.802,0.303,0.799,Low,Online,0,1,1,1,5,2,2,0,4,2,1,2,2,7,19,7.7,4,0.3125,12
Bhakti Mohite,Female,Engineering,Engineering,Computer Engineering,5,9,2,0,0,5,Often,1,3,Relieved,Sometimes,4,Often,2,2,2,Tight,Home,6,1,4.7,1,1,0,0,4,2,2,0.648,0.265,0.361,0.648,High,Hybrid,1,0,1,1,6,2,3,1,2,3,0,2,3,10,11,13.3,3,0.5,9
Uday Singh,Male,Engineering,Engineering,MSc Data Science,5,16,5,0,0,8,Always,0,2,Energised,"No, I believe them",4,Often,3,3,3,Moderate,Home,3,7,6.5,0,1,0,1,3,4,4,0.335,0.483,0.439,0.242,Low,Hybrid,0,1,1,1,10,0,0,0,2,2,0,3,3,6,19,9.5,12,0.29411764705882354,17
Madhuri Mane,Female,Engineering,Engineering,B.Sc Nursing,6,13,4,0,1,7,Never,0,2,Exhausted and drained,"No, I believe them",4,Sometimes,4,4,5,Moderate,PG,3,5,7.5,0,0,0,0,2,1,2,0.378,0.93,0.634,0.41,Medium,Offline,0,0,1,1,0,1,1,0,4,2,2,0,2,5,19,8.5,7,0.42857142857142855,12
Karan Deshpande,Male,Engineering,Engineering,B.Sc Nursing,3,7,2,0,0,3,Often,0,3,Neutral,Sometimes,4,Always,3,4,2,Comfortable,Home,4,5,5.7,0,1,0,0,4,2,1,0.535,0.531,0.678,0.678,Medium,Hybrid,0,1,1,1,0,2,2,1,0,0,0,2,4,8,9,11.3,6,0.375,7
Vivek Salunkhe,Male,Engineering,Engineering,B.Sc Nursing,7,13,2,1,0,8,Always,0,1,Relieved,Sometimes,2,Sometimes,4,3,3,Moderate,Home,3,9,5.9,0,0,0,1,3,4,2,0.165,0.774,0.452,0.625,Low,Hybrid,0,1,1,1,0,0,3,1,4,2,0,3,2,8,16,7.1,12,0.5,14
Bhushan Shah,Male,Engineering,Engineering,MBA,6,18,3,0,0,5,Sometimes,0,3,Neutral,Sometimes,4,Sometimes,3,4,4,Moderate,PG,5,3,6.8,0,0,0,0,4,3,4,0.393,0.54,0.329,0.768,Medium,Online,0,1,1,1,8,3,2,1,4,2,2,1,2,9,22,10.2,7,0.3157894736842105,11
Eshan Sharma,Male,Engineering,Engineering,MSc Data Science,6,20,3,1,0,8,Always,1,2,Tired but okay,Sometimes,2,Sometimes,2,4,4,Moderate,Hostel,5,0,6.3,0,1,0,1,2,4,1,0.609,0.963,0.313,0.896,High,Online,0,1,1,1,10,0,4,1,4,2,1,3,2,9,24,7.7,2,0.2857142857142857,15
Omkar Kale,Male,Engineering,Engineering,MBA,4,12,2,1,1,3,Always,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,1,2,2,Comfortable,Hostel,5,4,6.2,0,0,0,1,4,3,1,0.661,0.644,0.443,0.094,High,Hybrid,0,1,1,1,8,0,1,2,1,0,1,3,0,11,15,8.8,6,0.3076923076923077,8
Zara Pawar,Other,Engineering,Engineering,MBA,3,7,2,0,1,4,Always,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,1,3,2,Financially Struggling,Hostel,4,0,7.5,0,0,0,1,3,4,1,0.641,0.543,0.202,0.826,High,Online,0,2,1,1,8,0,1,2,1,1,1,3,0,7,10,7.5,2,0.375,10
Priya Shinde,Female,Engineering,Engineering,BCA,4,14,2,1,0,5,Sometimes,0,2,Tired but okay,Sometimes,2,Sometimes,4,5,5,Financially Struggling,Home,5,10,7.3,0,0,0,0,2,4,1,0.267,0.792,0.464,0.67,Low,Hybrid,0,0,1,1,3,3,4,1,4,1,0,1,2,9,19,6.7,11,0.26666666666666666,11
Sachin Jadhav,Male,Engineering,Engineering,B.Sc Nursing,3,4,2,0,1,4,Sometimes,1,4,Exhausted and drained,Sometimes,2,Never,2,2,4,Very Comfortable,Home,8,9,5.5,0,1,0,1,2,3,4,0.631,0.257,0.409,0.381,High,Hybrid,0,1,1,1,0,3,1,1,1,4,0,1,0,10,9,10.5,14,0.6,9
Pranav Verma,Male,Engineering,Engineering,BCom,2,14,4,1,0,4,Sometimes,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,1,3,2,Tight,Hostel,6,6,5.0,1,0,0,0,4,3,1,0.731,0.244,0.621,0.219,High,Offline,1,1,1,1,4,3,1,2,1,3,1,1,0,12,16,11.0,7,0.13333333333333333,11
Sachin Jadhav,Male,Engineering,Engineering,MBBS,4,18,4,0,0,6,Never,0,2,Tired but okay,"No, I believe them",3,Often,3,4,3,Very Comfortable,PG,3,9,5.8,0,0,0,0,2,4,4,0.341,0.692,0.614,0.214,Low,Offline,0,1,1,1,9,1,4,0,2,4,2,0,3,5,21,9.2,13,0.21052631578947367,14
Chinmay Joshi,Male,Engineering,Engineering,BA Psychology,4,18,2,0,1,7,Never,0,1,Tired but okay,Sometimes,2,Often,5,4,3,Moderate,Home,1,1,7.5,0,0,1,1,3,3,3,0.029,0.456,0.357,0.789,Low,Online,0,1,1,1,2,1,4,1,2,2,0,0,3,4,22,5.5,5,0.21052631578947367,12
Aditi Singh,Female,Engineering,Engineering,BA Psychology,1,12,4,1,1,7,Sometimes,0,2,Relieved,"No, I believe them",2,Rarely,3,3,4,Comfortable,Home,4,6,7.6,0,1,0,0,1,2,1,0.425,0.531,0.429,0.966,Medium,Online,0,0,1,1,2,3,3,0,3,0,0,1,1,7,17,6.4,7,0.07692307692307693,13
Nikhil Shinde,Male,Engineering,Engineering,MSc Data Science,3,11,4,0,1,6,Always,1,2,Tired but okay,"Yes, I doubt them",4,Always,2,1,2,Comfortable,Hostel,5,4,5.1,0,1,0,0,2,1,3,0.588,0.327,0.285,0.809,High,Online,0,1,1,1,10,0,4,2,0,0,1,3,4,7,14,10.9,7,0.25,11
Riya Mane,Female,Engineering,Engineering,MSc Data Science,6,6,4,0,1,8,Sometimes,0,1,Energised,"No, I believe them",1,Often,4,5,4,Comfortable,Hostel,1,4,7.8,0,0,0,0,2,2,2,0.303,0.951,0.399,0.717,Low,Online,0,0,1,1,10,3,0,0,2,0,1,1,3,3,11,4.2,6,0.8571428571428571,14
Yogita Sawant,Female,Engineering,Engineering,MBA,3,10,2,0,1,6,Often,1,3,Exhausted and drained,Sometimes,4,Often,1,3,3,Tight,Home,6,9,5.0,0,0,0,0,4,2,3,0.687,0.331,0.523,0.475,High,Hybrid,0,0,1,1,8,2,1,1,2,3,0,2,3,10,14,12.0,12,0.2727272727272727,10
Vivek Sawant,Male,Engineering,Engineering,BCom,5,18,2,0,1,4,Always,1,4,Tired but okay,"Yes, I doubt them",4,Sometimes,1,2,4,Tight,Home,2,10,6.2,0,1,0,0,2,1,3,0.764,0.262,0.78,0.553,Critical,Hybrid,1,1,1,1,4,0,4,2,4,3,0,3,2,4,23,11.8,13,0.2631578947368421,7
Akash Patil,Male,Engineering,Engineering,B.Sc Nursing,4,7,3,0,1,7,Sometimes,1,3,Tired but okay,Sometimes,4,Never,2,3,3,Very Comfortable,PG,7,10,5.0,1,0,0,0,2,2,1,0.669,0.416,0.759,0.422,High,Offline,1,1,1,1,0,3,4,1,1,4,2,1,0,9,11,13.0,11,0.5,12
Bhushan Deshpande,Male,Engineering,Engineering,Computer Engineering,3,8,4,1,0,7,Sometimes,0,1,Neutral,"No, I believe them",2,Often,5,1,4,Comfortable,PG,1,4,7.2,0,1,0,0,2,4,2,0.046,0.929,0.626,0.286,Low,Offline,0,1,1,1,6,3,2,0,2,0,2,1,3,5,12,5.8,6,0.3333333333333333,15
Madhuri Sawant,Other,Engineering,Engineering,MBA,5,17,3,0,1,5,Always,1,3,Exhausted and drained,Sometimes,3,Often,2,3,2,Comfortable,PG,3,12,5.6,0,0,0,0,3,2,2,0.609,0.0,0.642,0.315,High,Offline,0,2,1,1,8,0,1,1,2,0,2,3,3,6,20,10.4,14,0.2777777777777778,10
Ananya Mehta,Female,Engineering,Engineering,Mechanical Engineering,3,10,2,0,1,7,Often,1,2,Tired but okay,"Yes, I doubt them",4,Often,2,3,1,Moderate,Hostel,1,4,6.7,0,1,0,0,4,3,4,0.564,0.318,0.345,0.668,High,Online,0,0,1,1,11,2,4,2,2,2,1,2,3,5,12,9.3,8,0.2727272727272727,12
Nikhil Singh,Male,Engineering,Engineering,BA Psychology,7,18,3,1,1,6,Often,0,1,Neutral,"No, I believe them",1,Often,4,4,4,Moderate,Hostel,4,5,8.2,0,0,0,0,3,1,4,0.183,0.533,0.913,0.49,Low,Offline,0,1,1,1,2,2,2,0,2,2,1,2,3,9,23,3.8000000000000007,9,0.3684210526315789,10
Sachin Bhosale,Male,Engineering,Engineering,MBA,5,9,3,1,1,4,Often,1,4,Exhausted and drained,"Yes, I doubt them",1,Always,2,2,1,Comfortable,Home,6,7,5.0,0,0,0,0,4,2,2,0.596,0.574,0.488,0.442,High,Hybrid,0,1,1,1,8,2,1,2,0,0,0,2,4,12,11,10.0,9,0.5,9
Harsh Pawar,Male,Engineering,Engineering,Electronics & TC,7,11,2,0,0,5,Never,1,4,Neutral,Sometimes,4,Rarely,1,3,2,Moderate,Home,6,7,6.6,0,1,0,0,2,1,3,0.741,0.208,0.913,0.038,High,Offline,1,1,1,1,7,1,2,1,3,2,0,0,1,8,13,11.4,10,0.5833333333333334,8
Uma Mehta,Other,Engineering,Engineering,MSc Data Science,4,9,3,0,1,6,Often,1,3,Relieved,"Yes, I doubt them",4,Sometimes,2,1,3,Moderate,Home,4,5,5.7,0,0,0,0,2,1,2,0.696,0.143,0.448,0.461,High,Hybrid,1,2,1,1,10,2,3,2,4,2,0,2,2,6,13,11.3,7,0.4,10
Harshada Mehta,Female,Engineering,Engineering,BCA,6,3,1,0,1,5,Often,1,4,Neutral,Sometimes,4,Rarely,1,2,1,Comfortable,Hostel,5,8,4.8,0,0,1,0,3,4,1,0.721,0.438,0.497,1.0,High,Hybrid,1,0,1,1,3,2,2,1,3,0,1,2,1,8,5,13.2,9,1.5,10
Vedant Joshi,Male,Engineering,Engineering,BA English Literature,4,26,4,1,1,7,Never,0,1,Tired but okay,Sometimes,2,Often,5,3,5,Tight,Home,2,3,6.9,0,0,0,0,4,1,4,0.162,0.497,0.204,0.908,Low,Online,0,1,1,1,1,1,4,1,2,3,0,0,3,8,32,6.1,7,0.14814814814814814,12
Neha Deshpande,Female,Engineering,Engineering,Computer Engineering,8,18,3,1,0,8,Never,0,1,Relieved,Sometimes,1,Sometimes,4,3,4,Financially Struggling,Hostel,4,8,5.9,0,1,1,1,4,1,4,0.195,0.695,0.616,0.656,Low,Hybrid,0,0,1,1,6,1,3,1,4,1,1,0,2,10,22,6.1,13,0.42105263157894735,12
Sneha Shah,Female,Engineering,Engineering,Mechanical Engineering,5,14,3,1,0,6,Always,1,3,Neutral,"No, I believe them",4,Always,2,2,2,Moderate,Home,5,4,5.9,0,0,0,0,2,1,1,0.677,0.2,0.407,0.842,High,Online,1,0,1,1,11,0,2,0,0,2,0,3,4,9,16,11.1,5,0.3333333333333333,10
Swati Bhosale,Female,Engineering,Engineering,Civil Engineering,5,19,3,0,1,7,Often,0,2,Relieved,"No, I believe them",1,Always,2,4,3,Tight,Home,2,6,7.2,0,1,0,0,3,3,4,0.458,0.694,0.752,0.354,Medium,Offline,0,0,1,1,5,2,3,0,0,3,0,2,4,5,23,5.8,10,0.25,13
Madhuri Kulkarni,Female,Engineering,Engineering,BCom,6,4,3,0,0,6,Sometimes,1,4,Tired but okay,"Yes, I doubt them",3,Sometimes,3,3,2,Tight,Hostel,5,9,5.0,0,1,1,1,1,1,1,0.622,0.334,0.867,0.379,High,Offline,0,0,1,1,4,3,4,2,4,3,1,1,2,6,6,12.0,11,1.2,10
Neha Mane,Female,Engineering,Engineering,BCom,4,5,2,0,1,4,Sometimes,1,5,Neutral,Sometimes,3,Rarely,1,4,2,Comfortable,Relatives,4,2,5.7,0,1,0,0,2,3,1,0.868,0.637,0.272,0.687,Critical,Online,0,0,1,1,4,3,2,1,3,0,3,1,1,6,8,12.3,3,0.6666666666666666,9
Ekta Deshmukh,Female,Engineering,Engineering,Civil Engineering,4,12,3,0,1,8,Always,1,3,Exhausted and drained,"No, I believe them",1,Never,1,4,4,Financially Struggling,PG,4,6,4.9,0,0,0,0,4,3,2,0.643,0.501,0.482,0.407,High,Hybrid,1,0,1,1,5,0,1,0,1,1,2,3,0,8,17,9.1,8,0.3076923076923077,14
Tanvi Deshpande,Female,Engineering,Engineering,Mechanical Engineering,6,16,3,1,1,9,Often,0,1,Tired but okay,"No, I believe them",2,Sometimes,4,4,5,Comfortable,Home,6,6,7.1,0,1,0,0,1,2,1,0.214,0.575,0.721,0.267,Low,Offline,0,0,1,1,11,2,4,0,4,0,0,2,2,9,22,5.9,7,0.35294117647058826,14
Karan More,Male,Engineering,Engineering,MBA,4,17,2,0,1,6,Sometimes,1,3,Neutral,Sometimes,4,Sometimes,2,4,3,Moderate,Relatives,5,9,8.0,0,0,0,0,3,2,2,0.623,0.28,0.443,0.24,High,Hybrid,0,1,1,1,8,3,2,1,4,2,3,1,2,8,21,9.0,11,0.2222222222222222,10
Lavanya Nair,Female,Engineering,Engineering,MBBS,6,13,3,1,0,7,Often,1,5,Exhausted and drained,Sometimes,4,Never,1,4,2,Moderate,Home,7,5,6.1,0,0,0,0,1,4,1,0.927,0.488,0.296,0.839,Critical,Online,0,0,1,1,9,2,1,1,1,2,0,2,0,10,15,12.9,6,0.42857142857142855,14
Yash Jadhav,Male,Engineering,Engineering,MSc Data Science,4,10,1,0,1,6,Never,1,4,Tired but okay,"Yes, I doubt them",4,Always,2,5,2,Moderate,Hostel,6,11,5.2,0,1,0,0,3,1,3,0.705,0.341,0.654,0.542,High,Hybrid,0,1,1,1,10,1,4,2,0,2,1,0,4,9,13,12.8,14,0.36363636363636365,8
Uday Sawant,Male,Engineering,Engineering,Mechanical Engineering,4,14,2,1,0,6,Always,1,3,Exhausted and drained,Sometimes,2,Rarely,2,5,2,Financially Struggling,Hostel,4,9,4.0,0,1,0,0,3,4,2,0.692,0.491,0.678,0.283,High,Offline,1,1,1,1,11,0,1,1,3,1,1,3,1,9,16,11.0,11,0.26666666666666666,12
Neha Nair,Female,Engineering,Engineering,Civil Engineering,5,8,2,1,1,6,Always,1,3,Tired but okay,"Yes, I doubt them",2,Never,2,3,4,Tight,Home,5,1,4.2,1,0,0,0,1,3,1,0.567,0.682,0.133,0.42,High,Hybrid,1,0,1,1,5,0,4,2,1,3,0,3,0,8,13,11.8,2,0.5555555555555556,11
Chinmay Kumar,Male,Engineering,Engineering,BCom,5,14,4,1,0,6,Sometimes,0,1,Neutral,"No, I believe them",1,Often,5,4,4,Comfortable,Hostel,5,7,8.6,0,1,0,0,4,2,2,0.139,0.471,0.546,0.343,Low,Hybrid,0,1,1,1,4,3,2,0,2,0,1,1,3,11,18,3.4000000000000004,9,0.3333333333333333,12
Aishwarya Sawant,Female,Engineering,Engineering,BCA,4,16,2,1,0,7,Sometimes,1,3,Tired but okay,"No, I believe them",2,Rarely,2,2,2,Moderate,Relatives,5,0,5.6,0,0,0,1,1,2,1,0.746,0.599,0.379,0.856,High,Online,0,0,1,1,3,3,4,0,3,2,3,1,1,8,18,9.4,2,0.23529411764705882,11
Farhan Bhosale,Male,Engineering,Engineering,BCom,6,18,4,0,1,6,Sometimes,0,1,Neutral,Sometimes,2,Rarely,5,3,4,Comfortable,Home,3,2,6.3,0,1,0,0,2,2,4,0.017,0.632,0.286,0.112,Low,Hybrid,0,1,1,1,4,3,2,1,3,0,0,1,1,5,23,6.7,6,0.3157894736842105,12
Divya Kumar,Female,Engineering,Engineering,BA Psychology,2,9,4,1,0,6,Never,1,4,Exhausted and drained,"Yes, I doubt them",4,Sometimes,2,2,3,Moderate,PG,4,8,6.9,0,1,0,1,4,1,4,0.681,0.094,0.613,0.248,High,Offline,1,0,1,1,2,1,1,2,4,2,2,0,2,10,12,11.1,13,0.2,11
Omkar Mehta,Male,Engineering,Engineering,MBA,3,15,3,0,1,8,Often,1,3,Exhausted and drained,"Yes, I doubt them",4,Never,1,3,3,Financially Struggling,Home,4,10,5.7,0,0,0,0,1,4,2,0.709,0.534,0.445,0.907,High,Online,0,1,1,1,8,2,1,2,1,1,0,2,0,5,19,11.3,12,0.1875,15
Lavanya Kulkarni,Female,Engineering,Engineering,Electronics & TC,7,12,3,0,1,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",3,Often,2,4,2,Comfortable,PG,6,5,5.2,0,1,0,0,2,1,2,0.728,0.314,0.646,0.671,High,Hybrid,0,0,1,1,7,0,1,2,2,0,2,3,3,8,15,10.8,7,0.5384615384615384,10
Karan Jadhav,Male,Engineering,Engineering,BCom,6,17,2,0,0,7,Always,1,5,Tired but okay,"Yes, I doubt them",4,Never,1,4,4,Tight,Home,5,2,6.4,0,0,0,0,4,4,1,0.886,0.216,0.13,0.784,Critical,Online,1,1,1,1,4,0,4,2,1,3,0,3,0,9,21,12.6,3,0.3333333333333333,13
Lavanya Nair,Female,Engineering,Engineering,BCA,3,7,2,1,0,7,Often,1,1,Energised,"Yes, I doubt them",3,Never,3,1,2,Comfortable,Home,6,6,6.3,0,1,0,1,4,3,2,0.556,0.459,0.424,0.789,High,Online,0,0,1,1,3,2,0,2,1,0,0,2,0,12,9,7.7,9,0.375,12
Bhushan Jadhav,Male,Engineering,Engineering,Mechanical Engineering,5,10,3,0,1,6,Sometimes,0,2,Energised,Sometimes,4,Always,2,5,4,Very Comfortable,Home,3,9,5.0,0,0,0,0,1,2,1,0.482,0.206,0.824,0.28,Medium,Offline,0,1,1,1,11,3,0,1,0,4,0,1,4,4,15,11.0,10,0.45454545454545453,11
Riya Kale,Female,Engineering,Engineering,BCom,5,12,3,0,1,6,Always,1,3,Tired but okay,"Yes, I doubt them",4,Never,2,3,3,Comfortable,Home,5,7,5.4,1,0,0,0,4,2,1,0.598,0.348,0.602,0.662,High,Hybrid,1,0,1,1,4,0,4,2,1,0,0,3,0,9,16,12.6,8,0.38461538461538464,11
Vivek Deshpande,Male,Engineering,Engineering,Electronics & TC,6,19,1,0,1,9,Always,0,2,Relieved,"No, I believe them",2,Sometimes,3,2,5,Comfortable,Home,3,4,6.5,0,0,0,1,3,2,4,0.288,0.712,0.35,0.487,Low,Hybrid,0,1,1,1,7,0,3,0,4,0,0,3,2,6,25,7.5,9,0.3,12
Aditi Kale,Female,Engineering,Engineering,Civil Engineering,4,11,4,1,0,5,Often,1,4,Tired but okay,"Yes, I doubt them",3,Always,2,2,4,Tight,Hostel,5,9,6.6,0,0,0,1,3,1,3,0.621,0.433,0.481,0.824,High,Hybrid,0,0,1,1,5,2,4,2,0,3,1,2,4,10,15,10.4,13,0.3333333333333333,10
