name,gender,student_type,education_level,branch,study_hours,attend_hours,confidence,prefers_online_video,active_learner,sleep_hours,sleep_racing,exam_blank,overwhelm,friday_mood,self_doubt,workload_freq,goal_setting_freq,time_enough,puzzle_score,engagement,financial_stress,living_situation,phone_hours,friends_count,sgpa,atkt,has_internship,has_job,in_club,edtech_platforms,hobbies_count,social_interaction_freq,stress_base,motivation_base,social_base,digital_base,stress_level,learning_mode,at_risk_flag
Chinmay Bhosale,Male,Engineering,Engineering,BA English Literature,2,9,2,0,0,5,Never,0,3,Neutral,Sometimes,3,Sometimes,3,4,1,Tight,Home,8,8,4.2,1,1,0,1,3,1,1,0.531,0.383,0.726,0.48,Medium,Offline,1
Neha Sharma,Female,Engineering,Engineering,BA Psychology,6,11,4,0,1,4,Never,0,2,Exhausted and drained,"No, I believe them",2,Always,3,3,4,Moderate,Relatives,1,1,6.3,0,0,0,0,3,3,4,0.227,0.89,0.244,0.817,Low,Online,0
Jay Gaikwad,Male,Engineering,Engineering,BCom,3,12,3,1,0,5,Often,1,5,Energised,Sometimes,4,Sometimes,1,2,4,Comfortable,Hostel,5,6,5.6,0,1,0,0,3,4,1,0.866,0.185,0.524,0.752,Critical,Hybrid,1
Bhavna Patel,Female,Engineering,Engineering,BA English Literature,3,9,2,1,0,5,Never,0,2,Relieved,"No, I believe them",4,Sometimes,3,4,4,Comfortable,Home,6,8,4.8,0,1,0,0,1,4,2,0.357,0.377,0.438,0.792,Medium,Online,0
Priya Sawant,Female,Engineering,Engineering,BA Psychology,4,10,4,1,1,5,Always,0,3,Exhausted and drained,"No, I believe them",2,Always,3,4,4,Moderate,Home,6,7,5.3,0,1,0,0,4,3,1,0.526,0.316,0.762,0.442,Medium,Offline,0
Siddharth Patel,Male,Engineering,Engineering,Civil Engineering,5,15,4,0,0,6,Often,0,2,Neutral,"No, I believe them",2,Sometimes,4,4,4,Moderate,Hostel,6,0,6.3,0,1,0,0,1,2,4,0.303,0.802,0.303,0.799,Low,Online,0
Bhakti Mohite,Female,Engineering,Engineering,Computer Engineering,5,9,2,0,0,5,Often,1,3,Relieved,Sometimes,4,Often,2,2,2,Tight,Home,6,1,4.7,1,1,0,0,4,2,2,0.648,0.265,0.361,0.648,High,Hybrid,1
Uday Singh,Male,Engineering,Engineering,MSc Data Science,5,16,5,0,0,8,Always,0,2,Energised,"No, I believe them",4,Often,3,3,3,Moderate,Home,3,7,6.5,0,1,0,1,3,4,4,0.335,0.483,0.439,0.242,Low,Hybrid,0
Madhuri Mane,Female,Engineering,Engineering,B.Sc Nursing,6,13,4,0,1,7,Never,0,2,Exhausted and drained,"No, I believe them",4,Sometimes,4,4,5,Moderate,PG,3,5,7.5,0,0,0,0,2,1,2,0.378,0.93,0.634,0.41,Medium,Offline,0
Karan Deshpande,Male,Engineering,Engineering,B.Sc Nursing,3,7,2,0,0,3,Often,0,3,Neutral,Sometimes,4,Always,3,4,2,Comfortable,Home,4,5,5.7,0,1,0,0,4,2,1,0.535,0.531,0.678,0.678,Medium,Hybrid,0
Vivek Salunkhe,Male,Engineering,Engineering,B.Sc Nursing,7,13,2,1,0,8,Always,0,1,Relieved,Sometimes,2,Sometimes,4,3,3,Moderate,Home,3,9,5.9,0,0,0,1,3,4,2,0.165,0.774,0.452,0.625,Low,Hybrid,0
Bhushan Shah,Male,Engineering,Engineering,MBA,6,18,3,0,0,5,Sometimes,0,3,Neutral,Sometimes,4,Sometimes,3,4,4,Moderate,PG,5,3,6.8,0,0,0,0,4,3,4,0.393,0.54,0.329,0.768,Medium,Online,0
Eshan Sharma,Male,Engineering,Engineering,MSc Data Science,6,20,3,1,0,8,Always,1,2,Tired but okay,Sometimes,2,Sometimes,2,4,4,Moderate,Hostel,5,0,6.3,0,1,0,1,2,4,1,0.609,0.963,0.313,0.896,High,Online,0
Omkar Kale,Male,Engineering,Engineering,MBA,4,12,2,1,1,3,Always,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,1,2,2,Comfortable,Hostel,5,4,6.2,0,0,0,1,4,3,1,0.661,0.644,0.443,0.094,High,Hybrid,0
Zara Pawar,Other,Engineering,Engineering,MBA,3,7,2,0,1,4,Always,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,1,3,2,Financially Struggling,Hostel,4,0,7.5,0,0,0,1,3,4,1,0.641,0.543,0.202,0.826,High,Online,0
Priya Shinde,Female,Engineering,Engineering,BCA,4,14,2,1,0,5,Sometimes,0,2,Tired but okay,Sometimes,2,Sometimes,4,5,5,Financially Struggling,Home,5,10,7.3,0,0,0,0,2,4,1,0.267,0.792,0.464,0.67,Low,Hybrid,0
Sachin Jadhav,Male,Engineering,Engineering,B.Sc Nursing,3,4,2,0,1,4,Sometimes,1,4,Exhausted and drained,Sometimes,2,Never,2,2,4,Very Comfortable,Home,8,9,5.5,0,1,0,1,2,3,4,0.631,0.257,0.409,0.381,High,Hybrid,0
Pranav Verma,Male,Engineering,Engineering,BCom,2,14,4,1,0,4,Sometimes,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,1,3,2,Tight,Hostel,6,6,5.0,1,0,0,0,4,3,1,0.731,0.244,0.621,0.219,High,Offline,1
Sachin Jadhav,Male,Engineering,Engineering,MBBS,4,18,4,0,0,6,Never,0,2,Tired but okay,"No, I believe them",3,Often,3,4,3,Very Comfortable,PG,3,9,5.8,0,0,0,0,2,4,4,0.341,0.692,0.614,0.214,Low,Offline,0
Chinmay Joshi,Male,Engineering,Engineering,BA Psychology,4,18,2,0,1,7,Never,0,1,Tired but okay,Sometimes,2,Often,5,4,3,Moderate,Home,1,1,7.5,0,0,1,1,3,3,3,0.029,0.456,0.357,0.789,Low,Online,0
Aditi Singh,Female,Engineering,Engineering,BA Psychology,1,12,4,1,1,7,Sometimes,0,2,Relieved,"No, I believe them",2,Rarely,3,3,4,Comfortable,Home,4,6,7.6,0,1,0,0,1,2,1,0.425,0.531,0.429,0.966,Medium,Online,0
Nikhil Shinde,Male,Engineering,Engineering,MSc Data Science,3,11,4,0,1,6,Always,1,2,Tired but okay,"Yes, I doubt them",4,Always,2,1,2,Comfortable,Hostel,5,4,5.1,0,1,0,0,2,1,3,0.588,0.327,0.285,0.809,High,Online,0
Riya Mane,Female,Engineering,Engineering,MSc Data Science,6,6,4,0,1,8,Sometimes,0,1,Energised,"No, I believe them",1,Often,4,5,4,Comfortable,Hostel,1,4,7.8,0,0,0,0,2,2,2,0.303,0.951,0.399,0.717,Low,Online,0
Yogita Sawant,Female,Engineering,Engineering,MBA,3,10,2,0,1,6,Often,1,3,Exhausted and drained,Sometimes,4,Often,1,3,3,Tight,Home,6,9,5.0,0,0,0,0,4,2,3,0.687,0.331,0.523,0.475,High,Hybrid,0
Vivek Sawant,Male,Engineering,Engineering,BCom,5,18,2,0,1,4,Always,1,4,Tired but okay,"Yes, I doubt them",4,Sometimes,1,2,4,Tight,Home,2,10,6.2,0,1,0,0,2,1,3,0.764,0.262,0.78,0.553,Critical,Hybrid,1
Akash Patil,Male,Engineering,Engineering,B.Sc Nursing,4,7,3,0,1,7,Sometimes,1,3,Tired but okay,Sometimes,4,Never,2,3,3,Very Comfortable,PG,7,10,5.0,1,0,0,0,2,2,1,0.669,0.416,0.759,0.422,High,Offline,1
Bhushan Deshpande,Male,Engineering,Engineering,Computer Engineering,3,8,4,1,0,7,Sometimes,0,1,Neutral,"No, I believe them",2,Often,5,1,4,Comfortable,PG,1,4,7.2,0,1,0,0,2,4,2,0.046,0.929,0.626,0.286,Low,Offline,0
Madhuri Sawant,Other,Engineering,Engineering,MBA,5,17,3,0,1,5,Always,1,3,Exhausted and drained,Sometimes,3,Often,2,3,2,Comfortable,PG,3,12,5.6,0,0,0,0,3,2,2,0.609,0.0,0.642,0.315,High,Offline,0
Ananya Mehta,Female,Engineering,Engineering,Mechanical Engineering,3,10,2,0,1,7,Often,1,2,Tired but okay,"Yes, I doubt them",4,Often,2,3,1,Moderate,Hostel,1,4,6.7,0,1,0,0,4,3,4,0.564,0.318,0.345,0.668,High,Online,0
Nikhil Singh,Male,Engineering,Engineering,BA Psychology,7,18,3,1,1,6,Often,0,1,Neutral,"No, I believe them",1,Often,4,4,4,Moderate,Hostel,4,5,8.2,0,0,0,0,3,1,4,0.183,0.533,0.913,0.49,Low,Offline,0
Sachin Bhosale,Male,Engineering,Engineering,MBA,5,9,3,1,1,4,Often,1,4,Exhausted and drained,"Yes, I doubt them",1,Always,2,2,1,Comfortable,Home,6,7,5.0,0,0,0,0,4,2,2,0.596,0.574,0.488,0.442,High,Hybrid,0
Harsh Pawar,Male,Engineering,Engineering,Electronics & TC,7,11,2,0,0,5,Never,1,4,Neutral,Sometimes,4,Rarely,1,3,2,Moderate,Home,6,7,6.6,0,1,0,0,2,1,3,0.741,0.208,0.913,0.038,High,Offline,1
Uma Mehta,Other,Engineering,Engineering,MSc Data Science,4,9,3,0,1,6,Often,1,3,Relieved,"Yes, I doubt them",4,Sometimes,2,1,3,Moderate,Home,4,5,5.7,0,0,0,0,2,1,2,0.696,0.143,0.448,0.461,High,Hybrid,1
Harshada Mehta,Female,Engineering,Engineering,BCA,6,3,1,0,1,5,Often,1,4,Neutral,Sometimes,4,Rarely,1,2,1,Comfortable,Hostel,5,8,4.8,0,0,1,0,3,4,1,0.721,0.438,0.497,1.0,High,Hybrid,1
Vedant Joshi,Male,Engineering,Engineering,BA English Literature,4,26,4,1,1,7,Never,0,1,Tired but okay,Sometimes,2,Often,5,3,5,Tight,Home,2,3,6.9,0,0,0,0,4,1,4,0.162,0.497,0.204,0.908,Low,Online,0
Neha Deshpande,Female,Engineering,Engineering,Computer Engineering,8,18,3,1,0,8,Never,0,1,Relieved,Sometimes,1,Sometimes,4,3,4,Financially Struggling,Hostel,4,8,5.9,0,1,1,1,4,1,4,0.195,0.695,0.616,0.656,Low,Hybrid,0
Sneha Shah,Female,Engineering,Engineering,Mechanical Engineering,5,14,3,1,0,6,Always,1,3,Neutral,"No, I believe them",4,Always,2,2,2,Moderate,Home,5,4,5.9,0,0,0,0,2,1,1,0.677,0.2,0.407,0.842,High,Online,1
Swati Bhosale,Female,Engineering,Engineering,Civil Engineering,5,19,3,0,1,7,Often,0,2,Relieved,"No, I believe them",1,Always,2,4,3,Tight,Home,2,6,7.2,0,1,0,0,3,3,4,0.458,0.694,0.752,0.354,Medium,Offline,0
Madhuri Kulkarni,Female,Engineering,Engineering,BCom,6,4,3,0,0,6,Sometimes,1,4,Tired but okay,"Yes, I doubt them",3,Sometimes,3,3,2,Tight,Hostel,5,9,5.0,0,1,1,1,1,1,1,0.622,0.334,0.867,0.379,High,Offline,0
Neha Mane,Female,Engineering,Engineering,BCom,4,5,2,0,1,4,Sometimes,1,5,Neutral,Sometimes,3,Rarely,1,4,2,Comfortable,Relatives,4,2,5.7,0,1,0,0,2,3,1,0.868,0.637,0.272,0.687,Critical,Online,0
Ekta Deshmukh,Female,Engineering,Engineering,Civil Engineering,4,12,3,0,1,8,Always,1,3,Exhausted and drained,"No, I believe them",1,Never,1,4,4,Financially Struggling,PG,4,6,4.9,0,0,0,0,4,3,2,0.643,0.501,0.482,0.407,High,Hybrid,1
Tanvi Deshpande,Female,Engineering,Engineering,Mechanical Engineering,6,16,3,1,1,9,Often,0,1,Tired but okay,"No, I believe them",2,Sometimes,4,4,5,Comfortable,Home,6,6,7.1,0,1,0,0,1,2,1,0.214,0.575,0.721,0.267,Low,Offline,0
Karan More,Male,Engineering,Engineering,MBA,4,17,2,0,1,6,Sometimes,1,3,Neutral,Sometimes,4,Sometimes,2,4,3,Moderate,Relatives,5,9,8.0,0,0,0,0,3,2,2,0.623,0.28,0.443,0.24,High,Hybrid,0
Lavanya Nair,Female,Engineering,Engineering,MBBS,6,13,3,1,0,7,Often,1,5,Exhausted and drained,Sometimes,4,Never,1,4,2,Moderate,Home,7,5,6.1,0,0,0,0,1,4,1,0.927,0.488,0.296,0.839,Critical,Online,0
Yash Jadhav,Male,Engineering,Engineering,MSc Data Science,4,10,1,0,1,6,Never,1,4,Tired but okay,"Yes, I doubt them",4,Always,2,5,2,Moderate,Hostel,6,11,5.2,0,1,0,0,3,1,3,0.705,0.341,0.654,0.542,High,Hybrid,0
Uday Sawant,Male,Engineering,Engineering,Mechanical Engineering,4,14,2,1,0,6,Always,1,3,Exhausted and drained,Sometimes,2,Rarely,2,5,2,Financially Struggling,Hostel,4,9,4.0,0,1,0,0,3,4,2,0.692,0.491,0.678,0.283,High,Offline,1
Neha Nair,Female,Engineering,Engineering,Civil Engineering,5,8,2,1,1,6,Always,1,3,Tired but okay,"Yes, I doubt them",2,Never,2,3,4,Tight,Home,5,1,4.2,1,0,0,0,1,3,1,0.567,0.682,0.133,0.42,High,Hybrid,1
Chinmay Kumar,Male,Engineering,Engineering,BCom,5,14,4,1,0,6,Sometimes,0,1,Neutral,"No, I believe them",1,Often,5,4,4,Comfortable,Hostel,5,7,8.6,0,1,0,0,4,2,2,0.139,0.471,0.546,0.343,Low,Hybrid,0
Aishwarya Sawant,Female,Engineering,Engineering,BCA,4,16,2,1,0,7,Sometimes,1,3,Tired but okay,"No, I believe them",2,Rarely,2,2,2,Moderate,Relatives,5,0,5.6,0,0,0,1,1,2,1,0.746,0.599,0.379,0.856,High,Online,0
Farhan Bhosale,Male,Engineering,Engineering,BCom,6,18,4,0,1,6,Sometimes,0,1,Neutral,Sometimes,2,Rarely,5,3,4,Comfortable,Home,3,2,6.3,0,1,0,0,2,2,4,0.017,0.632,0.286,0.112,Low,Hybrid,0
Divya Kumar,Female,Engineering,Engineering,BA Psychology,2,9,4,1,0,6,Never,1,4,Exhausted and drained,"Yes, I doubt them",4,Sometimes,2,2,3,Moderate,PG,4,8,6.9,0,1,0,1,4,1,4,0.681,0.094,0.613,0.248,High,Offline,1
Omkar Mehta,Male,Engineering,Engineering,MBA,3,15,3,0,1,8,Often,1,3,Exhausted and drained,"Yes, I doubt them",4,Never,1,3,3,Financially Struggling,Home,4,10,5.7,0,0,0,0,1,4,2,0.709,0.534,0.445,0.907,High,Online,0
Lavanya Kulkarni,Female,Engineering,Engineering,Electronics & TC,7,12,3,0,1,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",3,Often,2,4,2,Comfortable,PG,6,5,5.2,0,1,0,0,2,1,2,0.728,0.314,0.646,0.671,High,Hybrid,0
Karan Jadhav,Male,Engineering,Engineering,BCom,6,17,2,0,0,7,Always,1,5,Tired but okay,"Yes, I doubt them",4,Never,1,4,4,Tight,Home,5,2,6.4,0,0,0,0,4,4,1,0.886,0.216,0.13,0.784,Critical,Online,1
Lavanya Nair,Female,Engineering,Engineering,BCA,3,7,2,1,0,7,Often,1,1,Energised,"Yes, I doubt them",3,Never,3,1,2,Comfortable,Home,6,6,6.3,0,1,0,1,4,3,2,0.556,0.459,0.424,0.789,High,Online,0
Bhushan Jadhav,Male,Engineering,Engineering,Mechanical Engineering,5,10,3,0,1,6,Sometimes,0,2,Energised,Sometimes,4,Always,2,5,4,Very Comfortable,Home,3,9,5.0,0,0,0,0,1,2,1,0.482,0.206,0.824,0.28,Medium,Offline,0
Riya Kale,Female,Engineering,Engineering,BCom,5,12,3,0,1,6,Always,1,3,Tired but okay,"Yes, I doubt them",4,Never,2,3,3,Comfortable,Home,5,7,5.4,1,0,0,0,4,2,1,0.598,0.348,0.602,0.662,High,Hybrid,1
Vivek Deshpande,Male,Engineering,Engineering,Electronics & TC,6,19,1,0,1,9,Always,0,2,Relieved,"No, I believe them",2,Sometimes,3,2,5,Comfortable,Home,3,4,6.5,0,0,0,1,3,2,4,0.288,0.712,0.35,0.487,Low,Hybrid,0
Aditi Kale,Female,Engineering,Engineering,Civil Engineering,4,11,4,1,0,5,Often,1,4,Tired but okay,"Yes, I doubt them",3,Always,2,2,4,Tight,Hostel,5,9,6.6,0,0,0,1,3,1,3,0.621,0.433,0.481,0.824,High,Hybrid,0
Aishwarya Shah,Female,Engineering,Engineering,MBA,4,11,3,1,0,7,Sometimes,0,3,Relieved,"Yes, I doubt them",2,Sometimes,2,4,4,Comfortable,Home,6,2,6.5,0,0,0,0,3,1,4,0.478,0.445,0.237,0.74,Medium,Online,0
Akash Sharma,Male,Engineering,Engineering,BCom,4,10,2,1,1,4,Sometimes,1,2,Neutral,Sometimes,4,Often,2,2,4,Moderate,PG,7,0,4.5,0,1,1,0,3,2,1,0.605,0.606,0.327,0.769,High,Online,1
Sneha Salunkhe,Female,Engineering,Engineering,MSc Data Science,4,0,4,1,1,4,Always,1,5,Tired but okay,Sometimes,4,Never,1,4,3,Moderate,Hostel,3,9,7.9,0,1,0,0,3,3,1,0.801,0.297,0.688,0.897,Critical,Hybrid,1
Vedant Mane,Male,Engineering,Engineering,BA Psychology,3,9,1,0,1,5,Always,1,5,Relieved,"Yes, I doubt them",4,Often,2,1,2,Tight,Relatives,4,0,5.7,0,0,0,1,4,4,1,0.764,0.442,0.366,0.741,Critical,Online,0
Nikhil Pawar,Male,Engineering,Engineering,Electronics & TC,3,10,1,1,0,5,Often,1,4,Relieved,Sometimes,3,Never,1,3,4,Comfortable,Home,5,0,5.9,0,1,0,0,1,4,1,0.791,0.253,0.316,0.833,Critical,Online,1
Akash Kulkarni,Male,Engineering,Engineering,BA English Literature,4,10,2,0,0,5,Often,1,3,Tired but okay,"Yes, I doubt them",2,Rarely,1,4,2,Financially Struggling,Hostel,3,5,4.3,0,1,0,0,4,1,2,0.669,0.336,0.368,0.831,High,Online,1
Manish Nair,Male,Engineering,Engineering,MBBS,7,5,3,0,1,6,Often,1,4,Exhausted and drained,"No, I believe them",4,Never,1,4,4,Comfortable,PG,6,7,5.4,1,0,0,1,1,3,2,0.837,0.299,0.692,0.225,Critical,Offline,1
Eshan Patel,Male,Engineering,Engineering,Electronics & TC,4,22,5,1,1,6,Never,0,1,Relieved,"No, I believe them",2,Sometimes,4,2,3,Very Comfortable,Hostel,4,10,7.1,0,0,0,0,4,2,3,0.216,0.495,0.637,0.737,Low,Hybrid,0
Gaurav Mohite,Male,Engineering,Engineering,MBBS,2,11,3,1,1,4,Always,0,3,Relieved,"No, I believe them",2,Rarely,3,2,4,Comfortable,Home,6,9,4.3,0,0,0,0,2,4,2,0.466,0.405,0.535,0.385,Medium,Hybrid,0
Nikhil Mane,Male,Engineering,Engineering,MBA,4,4,2,0,1,5,Sometimes,1,4,Exhausted and drained,"Yes, I doubt them",4,Rarely,1,3,3,Comfortable,Relatives,4,9,6.6,0,0,0,1,4,4,4,0.734,0.411,0.431,0.612,High,Hybrid,0
Bhakti Kale,Female,Engineering,Engineering,MSc Data Science,5,16,4,0,0,8,Never,0,1,Energised,Sometimes,2,Sometimes,4,2,2,Comfortable,Hostel,4,5,6.2,0,1,1,0,2,2,4,0.321,1.0,0.709,0.379,Low,Offline,0
Chaitali Singh,Female,Engineering,Engineering,BCA,5,15,5,0,1,7,Always,0,2,Neutral,"No, I believe them",3,Often,3,2,4,Comfortable,Relatives,3,3,6.8,0,1,0,0,1,2,3,0.358,1.0,0.349,0.876,Medium,Online,0
Ekta Jadhav,Female,Engineering,Engineering,MSc Data Science,6,15,4,0,1,8,Always,0,1,Energised,"No, I believe them",3,Never,4,2,4,Moderate,Home,4,2,6.2,0,0,0,0,4,2,3,0.165,0.704,0.349,0.913,Low,Online,0
Kunal Verma,Male,Engineering,Engineering,BCA,4,2,2,0,1,5,Always,1,4,Tired but okay,Sometimes,2,Often,2,4,3,Tight,PG,3,3,7.0,0,0,1,0,2,2,3,0.658,0.479,0.339,0.823,High,Online,0
Aniket Mane,Male,Engineering,Engineering,Electronics & TC,5,16,4,1,1,7,Never,0,1,Relieved,"No, I believe them",1,Rarely,4,2,4,Comfortable,Home,5,4,6.0,0,0,0,0,3,1,4,0.249,0.608,0.305,0.692,Low,Online,0
Yash Joshi,Male,Engineering,Engineering,Mechanical Engineering,3,0,2,1,0,6,Sometimes,0,3,Tired but okay,"No, I believe them",3,Often,3,2,5,Comfortable,Home,3,7,5.5,0,0,0,1,4,3,2,0.474,0.13,0.731,0.464,Medium,Offline,0
Parth Nair,Male,Engineering,Engineering,BA English Literature,3,9,4,0,1,4,Often,1,3,Neutral,Sometimes,3,Often,2,2,4,Moderate,Home,3,5,5.3,0,1,0,0,4,3,1,0.626,0.396,0.21,0.684,High,Online,0
Rohan Jadhav,Male,Engineering,Engineering,B.Sc Nursing,5,11,4,0,1,7,Never,1,3,Relieved,"No, I believe them",3,Never,2,3,2,Comfortable,Home,5,5,6.0,0,0,0,0,3,4,2,0.752,0.327,0.974,0.259,Critical,Offline,0
Geeta Shah,Female,Engineering,Engineering,BA English Literature,3,6,3,0,1,7,Often,1,3,Exhausted and drained,"No, I believe them",4,Sometimes,2,3,2,Financially Struggling,Hostel,6,9,4.7,0,0,0,0,2,2,1,0.678,0.198,0.504,0.53,High,Hybrid,1
Ananya Singh,Female,Engineering,Engineering,BA English Literature,3,14,3,0,0,6,Never,1,5,Exhausted and drained,"Yes, I doubt them",1,Sometimes,1,2,2,Tight,Home,7,8,6.0,0,0,0,1,2,1,3,0.849,0.483,0.718,0.675,Critical,Hybrid,0
Swati Sharma,Female,Engineering,Engineering,BA English Literature,5,16,4,0,1,8,Often,0,1,Energised,"No, I believe them",2,Sometimes,5,3,4,Moderate,Hostel,2,7,7.8,0,0,0,0,4,1,2,0.005,1.0,0.485,0.317,Low,Hybrid,0
Yash Salunkhe,Male,Engineering,Engineering,BA Psychology,5,7,2,0,1,6,Always,1,5,Exhausted and drained,Sometimes,4,Often,1,5,3,Moderate,Relatives,7,7,5.8,0,0,0,1,2,3,2,0.749,0.576,0.677,0.155,High,Offline,0
Gauri Jadhav,Female,Engineering,Engineering,BA English Literature,5,9,2,0,1,5,Often,0,3,Exhausted and drained,"No, I believe them",4,Often,3,2,4,Moderate,PG,4,6,6.1,0,1,0,1,2,1,2,0.386,0.513,0.707,0.543,Medium,Hybrid,0
Gauri Sawant,Female,Engineering,Engineering,Electronics & TC,4,18,4,1,1,7,Never,0,2,Relieved,Sometimes,1,Often,3,3,4,Moderate,Home,2,6,8.2,0,0,0,0,2,3,4,0.479,0.609,0.63,0.352,Medium,Offline,0
Aditi Mane,Female,Engineering,Engineering,Civil Engineering,6,8,5,0,1,5,Sometimes,1,5,Exhausted and drained,"Yes, I doubt them",4,Never,2,4,3,Moderate,Relatives,5,5,7.5,0,1,0,0,4,4,3,0.79,0.187,0.386,0.121,Critical,Hybrid,1
Parth Joshi,Male,Engineering,Engineering,B.Sc Nursing,4,8,3,1,0,6,Often,1,4,Relieved,"Yes, I doubt them",4,Never,1,1,2,Very Comfortable,Home,5,10,4.4,0,0,1,1,2,4,4,0.767,0.317,0.527,0.349,Critical,Hybrid,1
Meera Joshi,Female,Engineering,Engineering,MBA,7,15,3,1,1,5,Often,1,4,Exhausted and drained,Sometimes,3,Never,3,3,2,Moderate,Hostel,4,6,6.6,0,1,0,1,1,2,2,0.632,0.627,0.445,0.596,High,Hybrid,0
